0,0,0,0,0,0,0,0,0,0,0,0,0
0.1554,0.1331,0.2162,0.1087,0.1554,0.1037,0.0702,0.13,0.1663,0.1185,0.1308,0.1144,0.1308
0.1554,0.1331,0.2162,0.1087,0.1554,0.1037,0.0702,0.13,0.1663,0.1185,0.1308,0.1144,0.1308
0.1232,0.1856,0.1072,0.1677,0.1677,0.1043,0.0462,0.2007,0.158,0.1105,0.1308,0.0897,0.1308
0.2287,0.2387,0.1304,0.1524,0.1778,0.1368,0.1368,0.1474,0.2132,0.1845,0.1531,0.1294,0.1845
0.1837,0.7481,0.7481,0.7481,0.7481,0.7481,0.0652,0.1744,0.2455,0.1371,0.1677,0.0908,0.1677
0.7005,0.1726,0.7005,0.2559,0.2559,0.7005,0.2559,0.1726,0.2559,0.7005,0.7005,0.7005,0.7005
0,0,0,0,0,0,0,0,0,0,0,0,0
0.1781,0.2287,0.118,0.1108,0.1098,0.118,0.053,0.1567,0.1781,0.0986,0.0986,0.0986,0.0856
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.2483,0.2483,0.2483,0.1448,0.1009,0.1448,0.0696,0.2191,0.1656,0.0863,0.1448,0.1448,0.1128
0.2483,0.2483,0.2483,0.1448,0.1009,0.1448,0.0696,0.2191,0.1656,0.0863,0.1448,0.1448,0.1128
0.2483,0.2483,0.2483,0.1448,0.1009,0.1448,0.0696,0.2191,0.1656,0.0863,0.1448,0.1448,0.1128
0.1729,0.2609,0.1729,0.1729,0.1142,0.1729,0.0883,0.1057,0.1155,0.1146,0.1729,0.1222,0.1035
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0974,0.0852,0.0732,0.0865,0.0974,0.0492,0.0304,0.0537,0.0506,0.0732,0.0492,0.0804,0.0492
0.1591,0.2185,0.1349,0.1349,0.1349,0.1256,0.0938,0.1587,0.1238,0.1146,0.1592,0.1334,0.1064
0,0,0,0,0,0,0,0,0,0,0,0,0
0.3715,0.3923,0.3715,0.3715,0.1256,0.266,0.2013,0.2671,0.114,0.2013,0.2013,0.1811,0.0813
0,0,0,0,0,0,0,0,0,0,0,0,0
0.221,0.3756,0.1171,0.3205,0.1335,0.1444,0.0938,0.3647,0.2081,0.899,0.899,0.899,0.1335
0.221,0.3756,0.1171,0.3205,0.1335,0.1444,0.0938,0.3647,0.2053,0.899,0.899,0.899,0.1335
0.221,0.3756,0.15,0.3205,0.1335,0.145,0.0938,0.3647,0.145,0.3756,0.899,0.899,0.1355
0.2629,0.3756,0.1291,0.3205,0.1335,0.18,0.1054,0.3647,0.1282,0.4787,0.4787,0.4787,0.1335
0,0,0,0,0,0,0,0,0,0,0,0,0
0.1733,0.2248,0.1733,0.1733,0.1278,0.1733,0.1731,0.1202,0.1059,0.1731,0.1733,0.1371,0.1113
0.3568,0.496,0.3568,0.496,0.1747,0.2187,0.2187,0.2256,0.3568,0.296,0.2187,0.1747,0.296
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.1604,0.1705,0.1604,0.1168,0.1168,0.1604,0.0901,0.1293,0.1213,0.1272,0.1538,0.1538,0.135
0.1579,0.1781,0.1149,0.1162,0.1063,0.1149,0.0416,0.1488,0.2433,0.1107,0.1488,0.094,0.1331
0,0,0,0,0,0,0,0,0,0,0,0,0
0.1928,0.3768,0.1404,0.1584,0.1315,0.1184,0.0903,0.1374,0.236,0.1325,0.1582,0.1325,0.1325
0.2095,0.2376,0.2376,0.2376,0.2376,0.2376,0.065,0.2899,0.1632,0.1094,0.2376,0.1136,0.0925
0.2537,0.6377,0.6377,0.6377,0.6377,0.6377,0.0703,0.6377,0.1094,0.1036,0.6377,0.1209,0.0925
0.4262,0.1942,0.5224,0.4262,0.4262,0.2599,0.1957,0.2411,0.1957,0.1957,0.4824,0.2478,0.4262
0.2634,0.2057,0.2634,0.2634,0.2634,0.2634,0.1942,0.2057,0.2057,0.2057,0.26,0.2478,0.26
0.4262,0.1942,0.5224,0.4262,0.4262,0.2599,0.1957,0.2411,0.1957,0.1957,0.4824,0.2478,0.4262
0.7839,0.1628,0.1628,0.1628,0.1503,0.1675,0.0879,0.1514,0.1249,0.2121,0.1024,0.1503,0.2121
0,0,0,0,0,0,0,0,0,0,0,0,0
